#Data from 2015-10-22 at 11:12:9,,
Timestamp,PMT,
1928334197,0.012,100
1928334297,0.003,100
1928334397,0.003,100
1928334497,0.006,100
1928334597,0.003,100
1928334697,0.003,100
1928334797,0.006,100
1928334897,0.003,100
1928334997,0.003,100
1928335097,0.003,100
1928335197,0.003,100
1928335297,0.003,100
1928335397,0.016,100
1928335497,0.003,100
1928335597,0.003,100
1928335697,0.006,100
1928335797,0.022,100
1928335897,0.003,100
1928335997,0.032,100
1928336097,0.003,100
1928336197,0.003,100
1928336297,0.003,100
1928336397,0.003,100
1928336497,0.003,100
1928336597,0.003,100
1928336697,0.003,100
1928336797,0.006,100
1928336897,0.003,100
1928336997,0.003,100
1928337097,0.003,100
1928337197,0.006,100
1928337297,0.003,100
1928337397,0.006,100
1928337497,0.003,100
1928337597,0.003,100
1928337697,0.009,100
1928337797,0.016,100
1928337897,0.006,100
1928337997,0.003,100
1928338097,0.006,100
1928338197,0.003,100
1928338297,0.003,100
1928338397,0.003,100
1928338497,0.003,100
1928338597,0.003,100
1928338697,0.003,100
1928338797,0.003,100
1928338897,0.003,100
1928338997,0.003,100
1928339097,0.003,100
1928339197,0.003,100
1928339297,0.012,100
1928339397,0.003,100
1928339497,0.003,100
1928339597,0.003,100
1928339697,0.009,100
1928339797,0.006,100
1928339897,0.003,100
1928339997,0.003,100
1928340097,0.003,100
1928340197,0.003,100
1928340297,0.003,100
1928340397,0.003,100
1928340497,0.003,100
1928340597,0.003,100
1928340697,0.003,100
1928340797,0.006,100
1928340897,0.003,100
1928340997,0.006,100
1928341097,0.003,100
1928341197,0.006,100
1928341297,0.003,100
1928341397,0.003,100
1928341497,0.003,100
1928341597,0.003,100
1928341697,0.003,100
1928341797,0.003,100
1928341897,0.003,100
1928341997,0.003,100
1928342097,0.003,100
1928342197,0.003,100
1928342297,0.003,100
1928342397,0.003,100
1928342497,0.003,100
1928342597,0.003,100
1928342697,0.006,100
1928342797,0.003,100
1928342897,0.006,100
1928342997,0.006,100
1928343097,0.003,100
1928343197,0.003,100
1928343297,0.003,100
1928343397,0.006,100
1928343497,0.006,100
1928343597,0.003,100
1928343697,0.009,100
1928343797,0.003,100
1928343897,0.006,100
1928343997,0.006,100
1928344097,0.009,100
1928344197,0.003,100
1928344297,0.003,100
1928344397,0.006,100
1928344497,0.003,100
1928344597,0.003,100
1928344697,0.029,100
1928344797,0.003,100
1928344897,0.003,100
1928344997,0.003,100
1928345097,0.003,100
1928345197,0.003,100
1928345297,0.003,100
1928345397,0.006,100
1928345497,0.029,100
1928345597,0.003,100
1928345697,0.006,100
1928345797,0.006,100
1928345897,0.003,100
1928345997,0.006,100
1928346097,0.003,100
1928346197,0.006,100
1928346297,0.003,100
1928346397,0.009,100
1928346497,0.003,100
1928346597,0.003,100
1928346697,0.003,100
1928346797,0.006,100
1928346897,0.003,100
1928346997,0.003,100
1928347097,0.003,100
1928347197,0.003,100
1928347297,0.003,100
1928347397,0.009,100
1928347497,0.009,100
1928347597,0.003,100
1928347697,0.003,100
1928347797,0.003,100
1928347897,0.009,100
1928347997,0.006,100
1928348097,0.003,100
1928348197,0.003,100
1928348297,0.003,100
1928348397,0.003,100
1928348497,0.003,100
1928348597,0.003,100
1928348697,0.006,100
1928348797,0.003,100
1928348897,0.006,100
1928348997,0.003,100
1928349097,0.003,100
1928349197,0.006,100
