S130C	2015-10-20 08:00:30
value unit [W]	time unit [ms]
wavelength	532.000nm
range	AUTO
3.221113E-03	194113
3.221165E-03	194413
3.221275E-03	194715
3.221218E-03	195014
3.221218E-03	195315
3.221260E-03	195614
3.221332E-03	195915
3.221308E-03	196214
3.221226E-03	196515
3.221272E-03	196814
3.221349E-03	197115
3.221313E-03	197414
3.221356E-03	197715
3.221375E-03	198014
3.221338E-03	198315
3.221407E-03	198614
3.221351E-03	198915
3.221438E-03	199214
3.221469E-03	199515
3.221532E-03	199814
3.221500E-03	200115
3.221589E-03	200414
3.221545E-03	200715
3.221535E-03	201014
3.221625E-03	201315
3.221634E-03	201614
3.221602E-03	201916
3.221603E-03	202216
3.221627E-03	202516
3.221693E-03	202816
3.221702E-03	203116
3.221749E-03	203416
3.221759E-03	203716
3.221733E-03	204016
3.221762E-03	204316
3.221809E-03	204616
3.221754E-03	204916
3.221859E-03	205216
3.221827E-03	205516
3.221890E-03	205816
3.221876E-03	206116
3.221942E-03	206416
3.222000E-03	206716
3.222028E-03	207016
3.222077E-03	207316
3.222152E-03	207616
3.222124E-03	207916
3.222148E-03	208216
3.222117E-03	208516
3.222094E-03	208816
3.222092E-03	209117
3.222147E-03	209417
3.222167E-03	209717
3.222150E-03	210017
3.222151E-03	210317
3.222156E-03	210617
3.222189E-03	210917
3.222125E-03	211217
3.222148E-03	211524
3.222102E-03	211823
3.222250E-03	212124
3.222227E-03	212423
3.222267E-03	212724
3.222256E-03	213023
3.222333E-03	213324
3.222324E-03	213623
3.222327E-03	213924
3.222421E-03	214223
3.222364E-03	214524
3.222473E-03	214823
3.222489E-03	215124
3.222422E-03	215423
3.222510E-03	215724
3.222469E-03	216023
3.222473E-03	216324
3.222561E-03	216624
3.222558E-03	216925
3.222570E-03	217224
3.222559E-03	217525
3.222596E-03	217824
3.222593E-03	218125
3.222668E-03	218424
3.222674E-03	218725
3.222578E-03	219024
3.222580E-03	219325
3.222642E-03	219624
3.222672E-03	219925
3.222616E-03	220224
3.222654E-03	220525
3.222695E-03	220824
3.222741E-03	221125
3.222697E-03	221424
3.222723E-03	221725
3.222770E-03	222024
3.222722E-03	222325
3.222778E-03	222624
3.222724E-03	222925
3.222795E-03	223224
3.222744E-03	223525
3.222728E-03	223825
3.222771E-03	224126
3.222877E-03	224425
3.222768E-03	224726
3.222795E-03	225025
3.222838E-03	225326
3.222881E-03	225625
3.222852E-03	225926
3.222889E-03	226225
3.222862E-03	226526
3.222824E-03	226825
3.222927E-03	227126
3.222876E-03	227425
3.222988E-03	227726
3.222972E-03	228025
3.222963E-03	228326
3.222935E-03	228625
3.222993E-03	228926
3.222938E-03	229225
3.222936E-03	229526
3.222999E-03	229825
3.223056E-03	230126
3.223049E-03	230425
3.223003E-03	230726
3.222953E-03	231025
3.223042E-03	231327
3.223073E-03	231627
3.223085E-03	231927
